Node,edge,interact
SARS-CoV2 E,1,SLC44A2
SARS-CoV2 M,2,PITRM1
SARS-CoV2 M,2,REEP5
SARS-CoV2 M,2,STOM
SARS-CoV2 M,2,YIF1A
SARS-CoV2 N,2,MOV10
SARS-CoV2 N,2,PABPC1
SARS-CoV2 nsp1,3,PRIM1
SARS-CoV2 nsp10,4,AP2M1
SARS-CoV2 nsp10,4,ERGIC1
SARS-CoV2 nsp13,5,CENPF
SARS-CoV2 nsp13,5,GOLGA2
SARS-CoV2 nsp13,5,PRKAR2B
SARS-CoV2 nsp14,6,GLA
SARS-CoV2 nsp14,6,IMPDH2
SARS-CoV2 nsp6,7,ATP13A3
SARS-CoV2 nsp7,8,CYB5R3
SARS-CoV2 nsp7,8,GNG5
SARS-CoV2 nsp7,8,MOGS
SARS-CoV2 nsp7,8,RAB1A
SARS-CoV2 nsp7,8,RAB2A
SARS-CoV2 nsp7,8,RAB5C
SARS-CoV2 nsp7,8,RHOA
SARS-CoV2 nsp8,9,EXOSC8
SARS-CoV2 nsp8,9,MRPS27
SARS-CoV2 nsp8,9,SRP54
SARS-CoV2 nsp9,10,EIF4H
SARS-CoV2 nsp9,10,FBLN5
SARS-CoV2 nsp9,10,NUP88
SARS-CoV2 orf3a,11,HMOX1
SARS-CoV2 orf8,12,ADAM9
SARS-CoV2 orf8,12,ADAMTS1
SARS-CoV2 orf8,12,CHPF2
SARS-CoV2 orf8,12,DNMT1
SARS-CoV2 orf8,12,ERLEC1
SARS-CoV2 orf8,12,FKBP10
SARS-CoV2 orf8,12,GDF15
SARS-CoV2 orf8,12,HYOU1
SARS-CoV2 orf8,12,LOX
SARS-CoV2 orf8,12,NPC2
SARS-CoV2 orf8,12,NPTX1
SARS-CoV2 orf8,12,PLAT
SARS-CoV2 orf8,12,PLOD2
SARS-CoV2 orf8,12,PVR
SARS-CoV2 orf9b,13,DCTPP1
SARS-CoV2 orf9c,13,ABCC1
SARS-CoV2 orf9c,13,DPY19L1
SARS-CoV2 orf9c,13,NDUFB9
SARS-CoV2 orf9c,13,WFS1
SLC44A2,14,CD177
SLC44A2,14,ITGAL
SLC44A2,14,STK10
SLC44A2,14,ITGAM
SLC44A2,14,SLC27A2
SLC44A2,14,SLC2A5
SLC44A2,14,SLC15A4
SLC44A2,14,SLC2A3
SLC44A2,14,SLCO4C1
SLC44A2,14,ADAM10
PITRM1,15,HSCB
PITRM1,15,FXN
PITRM1,15,ATP5B
PITRM1,15,LDHD
PITRM1,15,HSPD1
PITRM1,15,COQ2
PITRM1,15,ATP5G1
PITRM1,15,NDUFB8
PITRM1,15,OTC
PITRM1,15,LAMTOR2
REEP5,15,PFAS
REEP5,15,GNAL
REEP5,15,OR5B21
REEP5,15,OR51E2
REEP5,15,OR10C1
REEP5,15,OR52N4
REEP5,15,OR11A1
REEP5,15,OR11G2
REEP5,15,OR7E24
REEP5,15,OR52N1
STOM,15,ASIC2
STOM,15,ASIC3
STOM,15,SLC2A3
STOM,15,ASIC1
STOM,15,TSPAN14
STOM,15,CD63
STOM,15,SURF4
STOM,15,RAB14
STOM,15,CD47
STOM,15,DDOST
YIF1A,15,YIPF5
YIF1A,15,YIPF6
YIF1A,15,VAPB
YIF1A,15,COPE
YIF1A,15,RABAC1
YIF1A,15,YIPF4
YIF1A,15,YIPF7
YIF1A,15,RAB1A
YIF1A,15,MAL2
YIF1A,15,STX5
MOV10,16,TNRC6B
MOV10,16,AGO2
MOV10,16,AGO1
MOV10,16,CBX8
MOV10,16,TNRC6A
MOV10,16,TNRC6C
MOV10,16,AGO3
MOV10,16,AGO4
MOV10,16,CBX6
MOV10,16,RING1
PABPC1,16,EIF4G1
PABPC1,16,SMG1
PABPC1,16,RBM8A
PABPC1,16,GSPT2
PABPC1,16,GSPT1
PABPC1,16,PAIP1
PABPC1,16,ATXN2
PABPC1,16,EIF4B
PABPC1,16,PAIP2
PABPC1,16,EIF4A1
PRIM1,17,PRIM2
PRIM1,17,POLA2
PRIM1,17,POLA1
PRIM1,17,RFC4
PRIM1,17,POLE2
PRIM1,17,PCNA
PRIM1,17,MCM2
PRIM1,17,CDC45
PRIM1,17,MCM3
PRIM1,17,RFC3
AP2M1,18,AP2S1
AP2M1,18,AP2B1
AP2M1,18,AP2A1
AP2M1,18,AP2A2
AP2M1,18,AP1B1
AP2M1,18,AAK1
AP2M1,18,CLTC
AP2M1,18,GAK
AP2M1,18,REPS1
AP2M1,18,PICALM
ERGIC1,18,SURF4
ERGIC1,18,LMAN1
ERGIC1,18,SURF2
ERGIC1,18,ATL3
ERGIC1,18,MAGT1
ERGIC1,18,GTPBP3
ERGIC1,18,HIGD1A
ERGIC1,18,ICT1
ERGIC1,18,CREBRF
ERGIC1,18,YARS
CENPF,19,CENPE
CENPF,19,BUB1
CENPF,19,BUB1B
CENPF,19,NDC80
CENPF,19,KIF2C
CENPF,19,NUF2
CENPF,19,CCNB2
CENPF,19,CDCA8
CENPF,19,CCNB1
CENPF,19,CDC20
GOLGA2,19,GORASP1
GOLGA2,19,GOLGB1
GOLGA2,19,USO1
GOLGA2,19,STX5
GOLGA2,19,GORASP2
GOLGA2,19,RAB1A
GOLGA2,19,RAB1B
GOLGA2,19,GOSR1
GOLGA2,19,RAB2A
GOLGA2,19,CDK1
GOLGA2,19,PRKACB
GOLGA2,19,PRKACA
GOLGA2,19,PRKACG
GOLGA2,19,AKAP5
GOLGA2,19,AKAP1
GOLGA2,19,PRKAR2A
GOLGA2,19,AKAP9
GOLGA2,19,AKAP10
GOLGA2,19,PRKAR1A
GOLGA2,19,PCM1
GLA,20,GLB1
GLA,20,GAA
GLA,20,GANC
GLA,20,HEXA
GLA,20,CTSA
GLA,20,GUSB
GLA,20,FUCA2
GLA,20,SI
GLA,20,HEXB
GLA,20,GALC
IMPDH2,20,GMPS
IMPDH2,20,CTPS1
IMPDH2,20,IMPDH1
IMPDH2,20,ATIC
IMPDH2,20,ITPA
IMPDH2,20,ADSSL1
IMPDH2,20,ADSS
IMPDH2,20,AMPD2
IMPDH2,20,AMPD3
IMPDH2,20,HPRT1
ATP13A3,21,ATP7B
ATP13A3,21,ATP7A
ATP13A3,21,ATP1B4
ATP13A3,21,PRRT3
ATP13A3,21,SLC13A1
ATP13A3,21,SLC35F1
ATP13A3,21,XXYLT1
ATP13A3,21,ZNF618
ATP13A3,21,MBTD1
ATP13A3,21,C3orf20
CYB5R3,22,CYB5A
CYB5R3,22,CYB5B
CYB5R3,22,ARSA
CYB5R3,22,2-Mar
CYB5R3,22,1-Mar
CYB5R3,22,FAF2
CYB5R3,22,PRKCD
CYB5R3,22,ARG1
CYB5R3,22,ACLY
CYB5R3,22,MAPK1
GNG5,22,GNB2
GNG5,22,GNB1
GNG5,22,GNB5
GNG5,22,GNB4
GNG5,22,GNB3
GNG5,22,GNAI3
GNG5,22,GNG11
GNG5,22,GNAI2
GNG5,22,GNAI1
GNG5,22,GNAO1
MOGS,22,GANAB
MOGS,22,RPN1
MOGS,22,DDOST
MOGS,22,TUSC3
MOGS,22,STT3A
MOGS,22,STT3B
MOGS,22,DAD1
MOGS,22,RPN2
MOGS,22,CANX
MOGS,22,GANC
RAB1A,22,GDI1
RAB1A,22,GDI2
RAB1A,22,TRAPPC4
RAB1A,22,TRAPPC1
RAB1A,22,USO1
RAB1A,22,RAB7A
RAB1A,22,TRAPPC5
RAB1A,22,RAB6A
RAB1A,22,RABGGTA
RAB1A,22,SCFD1
RAB2A,22,BLZF1
RAB2A,22,RAB6A
RAB2A,22,RAB6B
RAB2A,22,RAB11A
RAB2A,22,GORASP2
RAB2A,22,RAB5A
RAB2A,22,RAB5B
RAB2A,22,RAB2B
RAB2A,22,GOLGA2
RAB2A,22,RAB1A
RAB5C,22,GDI2
RAB5C,22,EEA1
RAB5C,22,ARF1
RAB5C,22,RAB7A
RAB5C,22,RAB8A
RAB5C,22,RAB11A
RAB5C,22,RAB8B
RAB5C,22,RAP1B
RAB5C,22,RAB11B
RAB5C,22,RABGEF1
RHOA,22,ARHGDIA
RHOA,22,ARHGEF11
RHOA,22,ARHGEF12
RHOA,22,ARHGAP35
RHOA,22,ARHGDIB
RHOA,22,PKN3
RHOA,22,ARHGAP1
RHOA,22,ARHGEF25
RHOA,22,ROCK2
RHOA,22,NET1
EXOSC8,23,EXOSC5
EXOSC8,23,EXOSC3
EXOSC8,23,EXOSC6
EXOSC8,23,DIS3
EXOSC8,23,EXOSC4
EXOSC8,23,EXOSC1
EXOSC8,23,EXOSC2
EXOSC8,23,SKIV2L2
EXOSC8,23,DIS3L
EXOSC8,23,EXOSC9
MRPS27,23,MRPS28
MRPS27,23,MRPS16
MRPS27,23,MRPS22
MRPS27,23,MRPS21
MRPS27,23,MRPS18B
MRPS27,23,DAP3
MRPS27,23,PTCD3
MRPS27,23,MRPS15
MRPS27,23,MRPL11
MRPS27,23,MRPS26
SRP54,23,SRP19
SRP54,23,SRP9
SRP54,23,SRP14
SRP54,23,SRP68
SRP54,23,RPL23A
SRP54,23,SRP72
SRP54,23,RPL23
SRP54,23,RPS14
SRP54,23,RPS13
SRP54,23,RPS18
FBLN5,24,ELN
FBLN5,24,LOXL1
FBLN5,24,LOX
FBLN5,24,MFAP2
FBLN5,24,MFAP4
FBLN5,24,EFEMP2
FBLN5,24,MFAP5
FBLN5,24,VTN
FBLN5,24,LOXL2
FBLN5,24,LOXL4
NUP88,24,NUP62
NUP88,24,NUP214
NUP88,24,NUP107
NUP88,24,NUP153
NUP88,24,NUP205
NUP88,24,NUP93
NUP88,24,NUP85
NUP88,24,NUP54
NUP88,24,NUP35
NUP88,24,GLE1
HMOX1,25,NFE2L2
HMOX1,25,JUN
HMOX1,25,BLVRA
HMOX1,25,MAPK14
HMOX1,25,BLVRB
HMOX1,25,FECH
HMOX1,25,NQO1
HMOX1,25,CP
HMOX1,25,HEPH
HMOX1,25,FXN
ADAM9,26,MAD2L2
ADAM9,26,COL17A1
ADAM9,26,SNX9
ADAM9,26,SH3GL2
ADAM9,26,CDH1
ADAM9,26,TNF
ADAM9,26,MAD2L1
ADAM9,26,CDCP1
ADAM9,26,APP
ADAM9,26,ITGAV
ADAMTS1,26,ACAN
ADAMTS1,26,THBS1
ADAMTS1,26,ADAMTSL1
ADAMTS1,26,THBS2
ADAMTS1,26,ADAMTSL3
ADAMTS1,26,ADAMTS3
ADAMTS1,26,ADAMTS12
ADAMTS1,26,ADAMTS19
ADAMTS1,26,ADAMTS7
ADAMTS1,26,ADAMTS5
CHPF2,26,CSGALNACT2
CHPF2,26,CSGALNACT1
CHPF2,26,NCAN
CHPF2,26,BGN
CHPF2,26,BCAN
CHPF2,26,DCN
CHPF2,26,VCAN
CHPF2,26,CSPG4
CHPF2,26,CSPG5
CHPF2,26,CHSY1
DNMT1,26,DNMT3B
DNMT1,26,DNMT3A
DNMT1,26,UHRF1
DNMT1,26,EZH2
DNMT1,26,RB1
DNMT1,26,HDAC1
DNMT1,26,HIST2H3PS2
DNMT1,26,HDAC2
DNMT1,26,SMARCA5
DNMT1,26,MBD2
ERLEC1,26,SEL1L
ERLEC1,26,SYVN1
ERLEC1,26,DERL2
ERLEC1,26,OS9
ERLEC1,26,VCP
ERLEC1,26,DERL1
ERLEC1,26,DERL3
ERLEC1,26,P4HB
ERLEC1,26,UBE2J1
ERLEC1,26,RNF5
FKBP10,26,LEPRE1
FKBP10,26,KDELR3
FKBP10,26,CRTAP
FKBP10,26,SERPINH1
FKBP10,26,PPIB
FKBP10,26,COL1A1
FKBP10,26,PLOD2
FKBP10,26,TMEM38B
FKBP10,26,GTF2IRD1
FKBP10,26,COL1A2
GDF15,26,GFRAL
GDF15,26,HAMP
GDF15,26,TP53
GDF15,26,ATF3
GDF15,26,IL6
GDF15,26,DDIT3
GDF15,26,AKT1
GDF15,26,CXCL8
GDF15,26,EGFR
GDF15,26,TWSG1
HYOU1,26,HSP90B1
HYOU1,26,PDIA4
HYOU1,26,HSPA5
HYOU1,26,SIL1
HYOU1,26,DNAJC10
HYOU1,26,DNAJC3
HYOU1,26,DNAJB11
HYOU1,26,SEC63
HYOU1,26,P4HB
HYOU1,26,CALR
LOX,26,ELN
LOX,26,FBLN5
LOX,26,BMP1
LOX,26,MFAP2
LOX,26,PCOLCE
LOX,26,LOXL1
LOX,26,MFAP5
LOX,26,LOXL2
LOX,26,TLL1
LOX,26,LOXL4
NPC2,26,NPC1
NPC2,26,GM2A
NPC2,26,CTSA
NPC2,26,NUDT19
NPC2,26,HEXB
NPC2,26,APOB
NPC2,26,MAN2B1
NPC2,26,ARSA
NPC2,26,RNASET2
NPC2,26,GLB1
NPTX1,26,RCN2
NPTX1,26,NIT2
NPTX1,26,OPA1
NPTX1,26,CHRNG
NPTX1,26,OCA2
NPTX1,26,WNT5A
NPTX1,26,TNNI1
NPTX1,26,HS3ST5
NPTX1,26,DESI1
NPTX1,26,TBCD
PLAT,26,SERPINE1
PLAT,26,SERPINF2
PLAT,26,SERPINE2
PLAT,26,ANXA2
PLAT,26,LRP1
PLAT,26,SERPINB2
PLAT,26,S100A10
PLAT,26,F2
PLAT,26,PLG
PLAT,26,HRG
PLOD2,26,PLOD1
PLOD2,26,COL5A2
PLOD2,26,COL1A1
PLOD2,26,COL1A2
PLOD2,26,COL5A1
PLOD2,26,COL4A1
PLOD2,26,COLGALT1
PLOD2,26,COL3A1
PLOD2,26,COL4A2
PLOD2,26,COL12A1
PVR,26,CD226
PVR,26,TIGIT
PVR,26,CD96
PVR,26,PVRL3
PVR,26,MLLT4
PVR,26,PVRL1
PVR,26,SRC
PVR,26,ITGAV
PVR,26,ITGB3
PVR,26,DYNLT1
DCTPP1,27,DCTD
DCTPP1,27,RRM1
DCTPP1,27,NME1
DCTPP1,27,CMPK2
DCTPP1,27,DCK
DCTPP1,27,RRM2
DCTPP1,27,NT5E
DCTPP1,27,NME2
DCTPP1,27,RRM2B
DCTPP1,27,AK9
ABCC1,27,ABCG2
ABCC1,27,TMOD2
ABCC1,27,MRPS7
ABCC1,27,STX4
ABCC1,27,AKT1
ABCC1,27,C19orf48
ABCC1,27,LTB4R2
ABCC1,27,SPNS2
ABCC1,27,TP53
ABCC1,27,ABCE1
DPY19L1,27,OR5I1
DPY19L1,27,B3GALTL
DPY19L1,27,SH3RF2
DPY19L1,27,FAM134C
DPY19L1,27,SYNDIG1
DPY19L1,27,ZNF616
DPY19L1,27,UNC5A
DPY19L1,27,SETD8
DPY19L1,27,FAM134A
DPY19L1,27,ADAMTSL1
NDUFB9,27,NDUFA6
NDUFB9,27,NDUFA2
NDUFB9,27,NDUFB5
NDUFB9,27,NDUFB8
NDUFB9,27,NDUFA12
NDUFB9,27,NDUFS5
NDUFB9,27,NDUFA8
NDUFB9,27,NDUFB7
NDUFB9,27,NDUFB10
NDUFB9,27,NDUFS1
WFS1,27,HSP90B1
WFS1,27,DNAJC3
WFS1,27,ATF6
WFS1,27,P4HB
WFS1,27,GPC3
WFS1,27,IL6
WFS1,27,MBTPS1
WFS1,27,LAMC1
WFS1,27,STC2
WFS1,27,PENK
